sample_id,defense,defense_params,threshold,similarity_after_attack,sim_adv_target,sim_adv_source,accepted_after_attack,accepted_after_defense,attack_success_after_defense,defense_success
vf_ea54843f0264,adv_training,"{""epochs"": 5, ""lr"": 1e-05, ""margin"": 0.15}",0.47966246581077576,0.518316924571991,0.0127609,0.97867578,True,False,False,True
vf_7d3bb72dda48,adv_training,"{""epochs"": 5, ""lr"": 1e-05, ""margin"": 0.15}",0.47966246581077576,0.5578899383544922,0.08263589,0.95600897,True,False,False,True
vf_b5633cd5a05d,adv_training,"{""epochs"": 5, ""lr"": 1e-05, ""margin"": 0.15}",0.47966246581077576,0.7450315952301025,0.21742415,0.97154391,True,False,False,True
vf_4321f23cd7aa,adv_training,"{""epochs"": 5, ""lr"": 1e-05, ""margin"": 0.15}",0.47966246581077576,0.49428918957710266,0.09313954,0.96556354,True,False,False,True
vf_de3be2e27d53,adv_training,"{""epochs"": 5, ""lr"": 1e-05, ""margin"": 0.15}",0.47966246581077576,0.5090257525444031,0.22009265,0.96542937,True,False,False,True
vf_090fcb274067,adv_training,"{""epochs"": 5, ""lr"": 1e-05, ""margin"": 0.15}",0.47966246581077576,0.5326390266418457,0.277684,0.97673941,True,False,False,True
vf_72be6e8889a8,adv_training,"{""epochs"": 5, ""lr"": 1e-05, ""margin"": 0.15}",0.47966246581077576,0.5673611164093018,0.15801354,0.96525633,True,False,False,True
vf_3229b831cddf,adv_training,"{""epochs"": 5, ""lr"": 1e-05, ""margin"": 0.15}",0.47966246581077576,0.5459588766098022,0.09254382,0.98008698,True,False,False,True
vf_c5bf893fcfcd,adv_training,"{""epochs"": 5, ""lr"": 1e-05, ""margin"": 0.15}",0.47966246581077576,0.5011372566223145,0.05235644,0.97178364,True,False,False,True
vf_c4edf24d3517,adv_training,"{""epochs"": 5, ""lr"": 1e-05, ""margin"": 0.15}",0.47966246581077576,0.5024973154067993,-0.03550798,0.96373451,True,False,False,True
vf_b2ec962e2326,adv_training,"{""epochs"": 5, ""lr"": 1e-05, ""margin"": 0.15}",0.47966246581077576,0.49572163820266724,-0.10440147,0.96844012,True,False,False,True
vf_cc42d41730d5,adv_training,"{""epochs"": 5, ""lr"": 1e-05, ""margin"": 0.15}",0.47966246581077576,0.6383804082870483,0.30757439,0.97018373,True,False,False,True
vf_8b68c1bd8551,adv_training,"{""epochs"": 5, ""lr"": 1e-05, ""margin"": 0.15}",0.47966246581077576,0.6265308260917664,0.47243792,0.9788245,True,False,False,True
